
 
 ************************* Shape Study *************************** 

     Fit mH      :      k+sigma      :       k+2*sigma       :       k-sigma      :      k-2*sigma    
(123.25 + 0.11)    (123.20 + 0.41)    (123.20 + 0.39)    (123.25 + 0.44)    (123.69 + 0.76)  

(125.05 + 0.03)    (125.05 + 0.03)    (125.05 + 0.03)    (125.06 + 0.03)    (125.06 + 0.03)  

(124.88 + 0.10)    (125.02 + 0.09)    (125.00 + 0.09)    (125.01 + 0.09)    (125.01 + 0.09)  

(124.76 + 0.06)    (124.97 + 0.06)    (124.97 + 0.05)    (125.00 + 0.05)    (125.00 + 0.05)  

(124.92 + 0.07)    (124.95 + 0.06)    (124.92 + 0.07)    (124.97 + 0.06)    (124.98 + 0.06)  

(125.08 + 0.05)    (125.10 + 0.05)    (125.10 + 0.05)    (125.10 + 0.05)    (125.10 + 0.05)  

(124.79 + 0.17)    (124.82 + 0.18)    (124.88 + 0.18)    (124.89 + 0.17)    (124.90 + 0.17)  

(124.89 + 0.10)    (124.98 + 0.10)    (124.98 + 0.09)    (124.99 + 0.10)    (124.98 + 0.10)  

(124.79 + 0.16)    (124.91 + 0.15)    (124.90 + 0.16)    (124.94 + 0.15)    (124.96 + 0.15)  

(124.78 + 0.08)    (124.92 + 0.09)    (124.94 + 0.09)    (124.89 + 0.09)    (124.88 + 0.09)  

